Start time	Interlocutor	Speech	End time	Interruptions	Absolute time start	Absolute time end				
(0:29:09.2)	TRUMP:	Well, I told you, I will release them as soon as the audit. Look, I’ve been under audit almost for 15 years. I know a lot of wealthy people that have never been audited. I said, do you get audited? I get audited almost every year. And in a way, I should be complaining. I’m not even complaining. I don’t mind it. It’s almost become a way of life. I get audited by the IRS. But other people don’t. I will say this. We have a situation in this country that has to be taken care of. I will release my tax returns — against my lawyer’s wishes — when she releases her 33,000 e-mails that have been deleted. As soon as she releases them, I will release. (APPLAUSE) I will release my tax returns. And that’s against — my lawyers, they say, “Don’t do it.” I will tell you this. No — in fact, watching shows, they’re reading the papers. Almost every lawyer says, you don’t release your returns until the audit’s complete. When the audit’s complete, I’ll do it. But I would go against them if she releases her e-mails.	(0:30:09.6)							
(0:30:09.5)	HOLT:	So it’s negotiable?	(0:30:10.1)	x						
(0:30:11.6)	TRUMP:	It’s not negotiable, no. Let her release the e-mails. Why did she delete 33,000…	(0:30:15.4)							
(0:30:15.3)	HOLT:	Well, I’ll let her answer that. But let me just admonish the audience one more time. There was an agreement. We did ask you to be silent, so it would be helpful for us. Secretary Clinton?	(0:30:22.8)	x						
(0:30:23.7)	CLINTON:	Well, I think you’ve seen another example of bait-and-switch here. For 40 years, everyone running for president has released their tax returns. You can go and see nearly, I think, 39, 40 years of our tax returns, but everyone has done it. We know the IRS has made clear there is no prohibition on releasing it when you’re under audit. So you’ve got to ask yourself, why won’t he release his tax returns? And I think there may be a couple of reasons. First, maybe he’s not as rich as he says he is. Second, maybe he’s not as charitable as he claims to be. Third, we don’t know all of his business dealings, but we have been told through investigative reporting that he owes about $650 million to Wall Street and foreign banks. Or maybe he doesn’t want the American people, all of you watching tonight, to know that he’s paid nothing in federal taxes, because the only years that anybody’s ever seen were a couple of years when he had to turn them over to state authorities when he was trying to get a casino license, and they showed he didn’t pay any federal income tax. So...	(0:31:34.5)							
(0:31:34.8)	TRUMP:	That makes me smart.	(0:31:35.4)							
(0:31:34.9)	CLINTON:	... if he’s paid zero, that means zero for troops, zero for vets, zero for schools or health. And I think probably he’s not all that enthusiastic about having the rest of our country see what the real reasons are, because it must be something really important, even terrible, that he’s trying to hide. And the financial disclosure statements, they don’t give you the tax rate. They don’t give you all the details that tax returns would. And it just seems to me that this is something that the American people deserve to see. And I have no reason to believe that he’s ever going to release his tax returns, because there’s something he’s hiding. And we’ll guess. We’ll keep guessing at what it might be that he’s hiding. But I think the question is, were he ever to get near the White House, what would be those conflicts? Who does he owe money to? Well, he owes you the answers to that, and he should provide them.	(0:32:38.0)	x						
(0:32:38.2)	HOLT:	He also — he also raised the issue of your e-mails. Do you want to respond to that?	(0:32:41.6)							
(0:32:42.1)	CLINTON:	I do. You know, I made a mistake using a private e-mail.	(0:32:46.4)							
(0:32:46.5)	TRUMP:	That’s for sure.	(0:32:47.1)							
(0:32:47.2)	CLINTON:	And if I had to do it over again, I would, obviously, do it differently. But I’m not going to make any excuses. It was a mistake, and I take responsibility for that.	(0:32:56.9)							
(0:32:57.6)	HOLT:	Mr. Trump?	(0:32:57.9)							
(0:33:00.1)	TRUMP:	That was more than a mistake. That was done purposely. OK? That was not a mistake. That was done purposely. When you have your staff taking the Fifth Amendment, taking the Fifth so they’re not prosecuted, when you have the man that set up the illegal server taking the Fifth, I think it’s disgraceful. And believe me, this country thinks it’s disgrace— it really thinks it’s disgraceful, also. As far as my tax returns, you don’t learn that much from tax returns. That I can tell you. You learn a lot from financial disclosure. And you should go down and take a look at that. The other thing, I’m extremely underleveraged. The report that said $650 — which, by the way, a lot of friends of mine that know my business say, boy, that’s really not a lot of money. It’s not a lot of money relative to what I had. The buildings that were in question, they said in the same report, which was — actually, it wasn’t even a bad story, to be honest with you, but the buildings are worth $3.9 billion. And the $650 isn’t even on that. But it’s not $650. It’s much less than that. But I could give you a list of banks, I would — if that would help you, I would give you a list of banks. These are very fine institutions, very fine banks. I could do that very quickly. I am very underleveraged. I have a great company. I have a tremendous income. And the reason I say that is not in a braggadocios way. It’s because it’s about time that this country had somebody running it that has an idea about money. When we have $20 trillion in debt, and our country’s a mess, you know, it’s one thing to have $20 trillion in debt and our roads are good and our bridges are good and everything’s in great shape, our airports. Our airports are like from a third world country. You land at LaGuardia, you land at Kennedy, you land at LAX, you land at Newark, and you come in from Dubai and Qatar and you see these incredible — you come in from China, you see these incredible airports, and you land — we’ve become a third world country. So the worst of all things has happened. We owe $20 trillion, and we’re a mess. We haven’t even started. And we’ve spent $6 trillion in the Middle East, according to a report that I just saw. Whether it’s 6 or 5, but it looks like it’s 6, $6 trillion in the Middle East, we could have rebuilt our country twice. And it’s really a shame. And it’s politicians like Secretary Clinton that have caused this problem. Our country has tremendous problems. We’re a debtor nation. We’re a serious debtor nation. And we have a country that needs new roads, new tunnels, new bridges, new airports, new schools, new hospitals. And we don’t have the money, because it’s been squandered on so many of your ideas.	(0:35:38.2)							
(0:35:38.4)	HOLT:	We’ll let you respond and we’ll move on to the next-	(0:35:39.8)							
(0:35:38.4)	CLINTON:	And maybe because you haven’t paid any federal income tax for a lot of years. (APPLAUSE) And the other thing I think is important to point out...	(0:35:46.4)	x						
(0:35:45.9)	TRUMP:	It would be squandered, too, believe me.	(0:35:47.7)	x						
(0:35:47.0)	CLINTON:	… is if your — if your main claim to be president of the United States is your business, then I think we should talk about that. You know, your campaign manager said that you built a lot of businesses on the backs of little guys. And, indeed, I have met a lot of the people who were stiffed by you and your businesses, Donald. I’ve met dishwashers, painters, architects, glass installers, marble installers, drapery installers, like my dad was, who you refused to pay when they finished the work that you asked them to do. We have an architect in the audience who designed one of your clubhouses at one of your golf courses. It’s a beautiful facility. It immediately was put to use. And you wouldn’t pay what the man needed to be paid, what he was charging you to do…	(0:36:45.8)	x						
(0:36:45.3)	TRUMP:	Maybe he didn’t do a good job and I was unsatisfied with his work…	(0:36:48.7)	x						
(0:36:47.3)	CLINTON:	Well, do…	(0:36:48.4)	x						
(0:36:49.3)	TRUMP:	Which our country should do, too.	(0:36:50.5)							
(0:36:48.7)	CLINTON:	Do thousands- do the thousands of people that you have stiffed over the course of your business not deserve some kind of apology from someone who has taken their labor, taken the goods that they produced, and then refused to pay them? I can only say that I’m certainly relieved that my late father never did business with you. He provided a good middle-class life for us, but the people he worked for, he expected the bargain to be kept on both sides. And when we talk about your business, you’ve taken business bankruptcy six times. There are a lot of great businesspeople that have never taken bankruptcy once. You call yourself the King of Debt. You talk about leverage. You even at one time suggested that you would try to negotiate down the national debt of the United States.	(0:37:44.4)	x						
(0:37:42.0)	TRUMP:	Wrong. Wrong.	(0:37:43.9)	x						
(0:37:44.9)	CLINTON:	Well, sometimes there’s not a direct transfer of skills from business to government, but sometimes what happened in business would be really bad for government.	(0:37:56.6)							
(0:37:56.8)	HOLT:	Let’s let Mr. Trump…	(0:37:57.5)							
(0:37:57.1)	CLINTON:	And we need to be very clear about that.	(0:37:59.7)	x						
(0:37:57.6)	TRUMP:	So, yeah, I think it's— I do think it’s time. Look, it’s all words, it’s all sound bites. I built an unbelievable company. Some of the greatest assets anywhere in the world, real estate assets anywhere in the world, beyond the United States, in Europe, lots of different places. It’s an unbelievable company. But on occasion, four times, we used certain laws that are there. And when Secretary Clinton talks about people that didn’t get paid, first of all, they did get paid a lot, but taken advantage of the laws of the nation. Now, if you want to change the laws, you’ve been there a long time, change the laws. But I take advantage of the laws of the nation because I’m running a company. My obligation right now is to do well for myself, my family, my employees, for my companies. And that’s what I do. But what she doesn’t say is that tens of thousands of people that are unbelievably happy and that love me. I’ll give you an example. We’re just opening up on Pennsylvania Avenue right next to the White House, so if I don’t get there one way, I’m going to get to Pennsylvania Avenue another. But we’re opening the Old Post Office. Under budget, ahead of schedule, saved tremendous money. I’m a year ahead of schedule. And that’s what this country should be doing. We build roads and they cost two and three and four times what they’re supposed to cost. We buy products for our military and they come in at costs that are so far above what they were supposed to be, because we don’t have people that know what they’re doing. When we look at the budget, the budget is bad to a large extent because we have people that have no idea as to what to do and how to buy. The Trump International is way under budget and way ahead of schedule. And we should be able to do that for our country.	(0:39:52.2)	x						
(0:39:51.6)	HOLT:	Well, we’re well behind schedule, so I want to move to our next segment. We move into our next segment talking about America’s direction. And let’s start by talking about race. The share of Americans who say race relations are bad in this country is the highest it’s been in decades, much of it amplified by shootings of African-Americans by police, as we’ve seen recently in Charlotte and Tulsa. Race has been a big issue in this campaign, and one of you is going to have to bridge a very wide and bitter gap. So how do you heal the divide? Secretary Clinton, you get two minutes on this.	(0:40:22.2)	x						
(0:40:23.0)	CLINTON:	Well, you’re right. Race remains a significant challenge in our country. Unfortunately, race still determines too much, often determines where people live, determines what kind of education in their public schools they can get, and, yes, it determines how they’re treated in the criminal justice system. We’ve just seen those two tragic examples in both Tulsa and Charlotte. And we’ve got to do several things at the same time. We have to restore trust between communities and the police. We have to work to make sure that our police are using the best training, the best techniques, that they’re well prepared to use force only when necessary. Everyone should be respected by the law, and everyone should respect the law. Right now, that’s not the case in a lot of our neighborhoods. So I have, ever since the first day of my campaign, called for criminal justice reform. I’ve laid out a platform that I think would begin to remedy some of the problems we have in the criminal justice system. But we also have to recognize, in addition to the challenges that we face with policing, there are so many good, brave police officers who equally want reform. So we have to bring communities together in order to begin working on that as a mutual goal. And we’ve got to get guns out of the hands of people who should not have them. The gun epidemic is the leading cause of death of young African-American men, more than the next nine causes put together. So we have to do two things, as I said. We have to restore trust. We have to work with the police. We have to make sure they respect the communities and the communities respect them. And we have to tackle the plague of gun violence, which is a big contributor to a lot of the problems that we’re seeing today.	(0:42:29.9)							
(0:42:30.0)	HOLT:	All right, Mr. Trump, you have two minutes. How do you heal the divide?	(0:42:32.3)							
(0:42:33.0)	TRUMP:	Well, first of all, Secretary Clinton doesn’t want to use a couple of words, and that’s law and order. And we need law and order. If we don’t have it, we’re not going to have a country. And when I look at what’s going on in Charlotte, a city I love, a city where I have investments, when I look at what’s going on throughout various parts of our country, whether it’s — I mean, I can just keep naming them all day long — we need law and order in our country. And I just got today the, as you know, the endorsement of the Fraternal Order of Police, we just — just came in. We have endorsements from, I think, almost every police group, very — I mean, a large percentage of them in the United States. We have a situation where we have our inner cities, African-Americans, Hispanics are living in hell because it’s so dangerous. You walk down the street, you get shot. In Chicago, they’ve had thousands of shootings, thousands since January 1st. Thousands of shootings. And I’m saying, where is this? Is this a war-torn country? What are we doing? And we have to stop the violence. We have to bring back law and order. In a place like Chicago, where thousands of people have been killed, thousands over the last number of years, in fact, almost 4,000 have been killed since Barack Obama became president, over four — almost 4,000 people in Chicago have been killed. We have to bring back law and order. Now, whether or not in a place like Chicago you do stop and frisk, which worked very well, Mayor Giuliani is here, worked very well in New York. It brought the crime rate way down. But you take the gun away from criminals that shouldn’t be having it. We have gangs roaming the street. And in many cases, they’re illegally here, illegal immigrants. And they have guns. And they shoot people. And we have to be very strong. And we have to be very vigilant. We have to be — we have to know what we’re doing. Right now, our police, in many cases, are afraid to do anything. We have to protect our inner cities, because African-American communities are being decimated by crime, decimated.	(0:44:49.8)							
(0:44:48.2)	HOLT:	Your two — your two minutes expired, but I do want to follow up. Stop-and-frisk was ruled unconstitutional in New York, because it largely singled out black and Hispanic young men.	(0:44:59.6)	x						
(0:44:59.5)	TRUMP:	No, you’re wrong. It went before a judge, who was a very against-police judge. It was taken away from her. And our mayor, our new mayor, refused to go forward with the case. They would have won an appeal. If you look at it, throughout the country, there are many places where it’s allowed.	(0:45:18.6)	x						
(0:45:17.8)	HOLT: 	The argument is that it’s a form of racial profiling.	(0:45:20.8)	x						
(0:45:21.0)	TRUMP:	No, the argument is that we have to take the guns away from these people that have them and they are bad people that shouldn’t have them. These are felons. These are people that are bad people that shouldn’t be — when you have 3,000 shootings in Chicago from January 1st, when you have 4,000 people killed in Chicago by guns, from the beginning of the presidency of Barack Obama, his hometown, you have to have stop-and-frisk. You need more police. You need a better community, you know, relation. You don’t have good community relations in Chicago. It’s terrible. I have property there. It’s terrible what’s going on in Chicago. But when you look — and Chicago’s not the only — you go to Ferguson, you go to so many different places. You need better relationships. I agree with Secretary Clinton on this. You need better relationships between the communities and the police, because in some cases, it’s not good. But you look at Dallas, where the relationships were really studied, the relationships were really a beautiful thing, and then five police officers were killed one night very violently. So there’s some bad things going on. Some really bad things.	(0:46:32.7)							
(0:46:32.5)	HOLT:	Secretary Clinton…	(0:46:33.0)	x						
(0:46:33.1)	TRUMP:	But we need — Lester, we need law and order. And we need law and order in the inner cities, because the people that are most affected by what’s happening are African-American and Hispanic people. And it’s very unfair to them what our politicians are allowing to happen.	(0:46:50.7)							
(0:46:51.1)	HOLT:	Secretary Clinton?	(0:46:51.6)							
(0:46:51.9)	CLINTON:	Well, I’ve heard — I’ve heard Donald say this at his rallies, and it’s really unfortunate that he paints such a dire negative picture of black communities in our country.	(0:47:07.7)							
(0:47:07.9)	TRUMP:	Ugh.	(0:47:08.3)							
(0:47:08.2)	CLINTON:	You know, the vibrancy of the black church, the black businesses that employ so many people, the opportunities that so many families are working to provide for their kids. There’s a lot that we should be proud of and we should be supporting and lifting up. But we do always have to make sure we keep people safe. There are the right ways of doing it, and then there are ways that are ineffective. Stop-and-frisk was found to be unconstitutional and, in part, because it was ineffective. It did not do what it needed to do. Now, I believe in community policing. And, in fact, violent crime is one-half of what it was in 1991. Property crime is down 40 percent. We just don’t want to see it creep back up. We’ve had 25 years of very good cooperation. But there were some problems, some unintended consequences. Too many young African-American and Latino men ended up in jail for non-violent offences. And it’s just a fact that if you’re a young African-American man and you do the same thing as a young white man, you are more likely to be arrested, charged, convicted, and incarcerated. So we’ve got to address the systemic racism in our criminal justice system. We cannot just say law and order. We have to say — we have to come forward with a plan that is going to divert people from the criminal justice system, deal with mandatory minimum sentences, which have put too many people away for too long for doing too little. We need to have more second chance programs. I’m glad that we’re ending private prisons in the federal system; I want to see them ended in the state system. You shouldn’t have a profit motivation to fill prison cells with young Americans. So there are some positive ways we can work on this. And I believe strongly that common-sense gun safety measures would assist us. Right now — and this is something Donald has supported, along with the gun lobby — right now, we’ve got too many military- style weapons on the streets. In a lot of places, our police are outgunned. We need comprehensive background checks, and we need to keep guns out of the hands of those who will do harm. And we finally need to pass a prohibition on anyone who’s on the terrorist watch list from being able to buy a gun in our country. If you’re too dangerous to fly, you are too dangerous to buy a gun. So there are things we can do, and we ought to do it in a bipartisan way.	(0:49:56.4)	x						
(0:49:56.2)	HOLT:	Secretary Clinton, last week, you said we’ve got to do everything possible to improve policing, to go right at implicit bias. Do you believe that police are implicitly biased against black people?	(0:50:06.1)	x						
(0:50:06.7)	CLINTON:	Lester, I think implicit bias is a problem for everyone, not just police. I think, unfortunately, too many of us in our great country jump to conclusions about each other. And therefore, I think we need all of us to be asking hard questions about, you know, why am I feeling this way? But when it comes to policing, since it can have literally fatal consequences, I have said, in my first budget, we would put money into that budget to help us deal with implicit bias by retraining a lot of our police officers. I’ve met with a group of very distinguished, experienced police chiefs a few weeks ago. They admit it’s an issue. They’ve got a lot of concerns. Mental health is one of the biggest concerns, because now police are having to handle a lot of really difficult mental health problems on the street. They want support, they want more training, they want more assistance. And I think the federal government could be in a position where we would offer and provide that.	(0:51:10.6)							
(0:51:11.5)	HOLT:	Mr. Trump…	(0:51:11.8)							
(0:51:11.6)	TRUMP:	I’d like to respond to that.	(0:51:12.6)							
(0:51:12.5)	HOLT:	Please.	(0:51:12.7)	x						
(0:51:13.8)	TRUMP:	First of all, I agree, and a lot of people even within my own party want to give certain rights to people on watch lists and no-fly lists. I agree with you. When a person is on a watch list or a no-fly list, and I have the endorsement of the NRA, which I’m very proud of. These are very, very good people, and they’re protecting the Second Amendment. But I think we have to look very strongly at no-fly lists and watch lists. And when people are on there, even if they shouldn’t be on there, we’ll help them, we’ll help them legally, we’ll help them get off. But I tend to agree with that quite strongly. I do want to bring up the fact that you were the one that brought up the words super-predator about young black youth. And that’s a term that I think was a — it’s — it’s been horribly met, as you know. I think you’ve apologized for it. But I think it was a terrible thing to say. And when it comes to stop-and-frisk, you know, you’re talking about takes guns away. Well, I’m talking about taking guns away from gangs and people that use them. And I don’t think — I really don’t think you disagree with me on this, if you want to know the truth. I think maybe there’s a political reason why you can’t say it, but I really don’t believe — in New York City, stop-and-frisk, we had 2,200 murders, and stop-and-frisk brought it down to 500 murders. Five hundred murders is a lot of murders. It’s hard to believe, 500 is like supposed to be good? But we went from 2,200 to 500. And it was continued on by Mayor Bloomberg. And it was terminated by current mayor. But stop-and-frisk had a tremendous impact on the safety of New York City. Tremendous beyond belief. So when you say it has no impact, it really did. It had a very, very big impact.	(0:52:51.8)	x						
(0:52:51.8)	CLINTON:	Well, it’s also fair to say, if we’re going to talk about mayors, that under the current mayor, crime has continued to drop, including murders. So there is…	(0:53:01.2)							
(0:53:00.4)	TRUMP:	No, you’re wrong. You’re wrong.	(0:53:01.6)	x						
(0:53:01.8)	CLINTON:	No, I’m not.	(0:53:02.4)							
(0:53:02.1)	TRUMP:	Murders are up.	(0:53:02.7)	x						
(0:53:03.3)	CLINTON:	(INAUDIBLE)	(0:53:03.4)							
(0:53:03.6)	TRUMP:	All right. You check it.	(0:53:04.5)							
(0:53:03.4)	CLINTON:	New York — New York has done an excellent job.	(0:53:06.9)	x						
(0:53:05.6)	TRUMP:	You check it.	(0:53:06.1)	x						
(0:53:07.1)	CLINTON:	And I give credit — I give credit across the board going back two mayors, two police chiefs, because it has worked. And other communities need to come together to do what will work, as well. Look, one murder is too many. But it is important...	(0:53:25.1)							
(0:53:24.4)	TRUMP:	True.	(0:53:24.6)	x						
(0:53:25.4)	CLINTON:	...that we learn about what has been effective. And not go to things that sound good that really did not have the kind of impact that we would want. Who disagrees with keeping neighborhoods safe? But let’s also add, no one should disagree about respecting the rights of young men who live in those neighborhoods. And so we need to do a better job of working, again, with the communities, faith communities, business communities, as well as the police to try to deal with this problem.	(0:54:00.8)							
(0:54:00.7)	HOLT:	This conversation is about race. And so, Mr. Trump, I have to ask you for five…	(0:54:04.2)	x						
(0:54:03.3)	TRUMP:	But I’d like to just respond, if I might.	(0:54:05.1)	x						
(0:54:05.6)	HOLT:	Please — 20 seconds.	(0:54:06.7)							
(0:54:06.3)	TRUMP:	I’d just like to respond.	(0:54:07.4)'	x						
(0:54:07.4)	HOLT:	Please respond, then I’ve got a quick follow-up for you.	(0:54:09.1)	x						
(0:54:08.4)	TRUMP:	I will. Look, the African-American community has been let down by our politicians. They talk good around election time, like right now, and after the election, they said, see ya later, I’ll see you in four years. The African-American community — because — look, the community within the inner cities has been so badly treated. They’ve been abused and used in order to get votes by Democrat politicians, because that’s what it is. They’ve controlled these communities for up to 100 years.	(0:54:38.9)	x						
(0:54:37.2)	HOLT:	Alright. Mr. Trump, let me…	(0:54:39.9)	x						
(0:54:39.7)	CLINTON:	Well, I — I do think…	(0:54:41.2)	x						
(0:54:39.9)	TRUMP:	Unbroken. And I will tell you, you look at the inner cities — and I just left Detroit, and I just left Philadelphia, and I just — you know, you’ve seen me, I’ve been all over the place. You decided to stay home, and that’s OK. But I will tell you, I’ve been all over. And I’ve met some of the greatest people I’ll ever meet within these communities. And they are very, very upset with what their politicians have told them and what their politicians have done.	(0:55:05.4)	x						
(0:55:05.8)	HOLT:	Mr. Trump, I…	(0:55:06.2)							
(0:55:05.9)	CLINTON:	I think — I think — I think Donald just criticized me for preparing for this debate. And, yes, I did. And you know what else I prepared for? I prepared to be president. And I think that’s a good thing.	(0:55:20.0)	x						
(APPLAUSE)										
(0:55:22.2)	HOLT:	Mr. Trump, for five years, you perpetuated a false claim that the nation’s first black president was not a natural-born citizen. You questioned his legitimacy. In the last couple of weeks, you acknowledged what most Americans have accepted for years: The president was born in the United States. Can you tell us what took you so long?	(0:55:39.0)							
(0:55:38.5)	TRUMP:	I’ll tell you very — well, just very simple to say. Sidney Blumenthal works for the campaign and close — very close friend of Secretary Clinton. And her campaign manager, Patti Doyle, went to — during the campaign, her campaign against President Obama, fought very hard. And you can go look it up, and you can check it out. And if you look at CNN this past week, Patti Solis Doyle was on Wolf Blitzer saying that this happened. Blumenthal sent McClatchy, highly respected reporter at McClatchy, to Kenya to find out about it. They were pressing it very hard. She failed to get the birth certificate. When I got involved, I didn’t fail. I got him to give the birth certificate. So I’m satisfied with it. And I’ll tell you why I’m satisfied with it.	(0:56:34.9)	x						
(0:56:35.1)	HOLT:	That was in 2011.	(0:56:35.4)							
(0:56:35.5)	TRUMP:	Because I want to get on to defeating ISIS, because I want to get on to creating jobs, because I want to get on to having a strong border, because I want to get on to things that are very important to me and that are very important to the country.	(0:56:48.5)							
(0:56:48.7)	HOLT:	I will let you respond. It’s important. But I just want to get the answer here. The birth certificate was produced in 2011. You’ve continued to tell the story and question the president’s legitimacy in 2012, ’13, ’14, ’15…	(0:57:00.7)							
(0:57:00.9)	TRUMP:	Yeah.	(0:57:01.1)							
(0:57:01.2)	HOLT:	…. as recently as January. So the question is, what changed your mind?	(0:57:05.0)							
(0:57:04.5)	TRUMP:	Well, nobody was pressing it, nobody was caring much about it. I figured you’d ask the question tonight, of course. But nobody was caring much about it. But I was the one that got him to produce the birth certificate. And I think I did a good job. Secretary Clinton also fought it. I mean, you know — now, everybody in mainstream is going to say, oh, that’s not true. Look, it’s true. Sidney Blumenthal sent a reporter — you just have to take a look at CNN, the last week, the interview with your former campaign manager. And she was involved. But just like she can’t bring back jobs, she can’t produce.	(0:57:41.9)	x						
(0:57:42.0)	HOLT:	I’m sorry. I’m just going to follow up — and I will let you respond to that, because there’s a lot there. But we’re talking about racial healing in this segment. What do you say to Americans, people of color who… (INAUDIBLE)	(0:57:53.5)							
(0:57:49.7)	TRUMP:	Well, it was very — I say nothing. I say nothing, because I was able to get him to produce it. He should have produced it a long time before. I say nothing. But let me just tell you. When you talk about healing, I think that I’ve developed very, very good relationships over the last little while with the African-American community. I think you can see that. And I feel that they really wanted me to come to that conclusion. And I think I did a great job and a great service not only for the country, but even for the president, in getting him to produce his birth certificate.	(0:58:22.5)	x						
(0:58:22.1)	HOLT:	Secretary Clinton?	(0:58:22.6)	x						
(0:58:24.1)	CLINTON:	Well, just listen to what you heard.(LAUGHTER) And clearly, as Donald just admitted, he knew he was going to stand on this debate stage, and Lester Holt was going to be asking us questions, so he tried to put the whole racist birther lie to bed. But it can’t be dismissed that easily. He has really started his political activity based on this racist lie that our first black president was not an American citizen. There was absolutely no evidence for it, but he persisted, he persisted year after year, because some of his supporters, people that he was trying to bring into his fold, apparently believed it or wanted to believe it. But, remember, Donald started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans, and he made sure that the people who worked for him understood that was the policy. He actually was sued twice by the Justice Department. So he has a long record of engaging in racist behavior. And the birther lie was a very hurtful one. You know, Barack Obama is a man of great dignity. And I could tell how much it bothered him and annoyed him that this was being touted and used against him. But I like to remember what Michelle Obama said in her amazing speech at our Democratic National Convention: When they go low, we go high. And Barack Obama went high, despite Donald Trump’s best efforts to bring him down.	(1:00:25.1)							
(1:00:25.1)	HOLT:	Mr. Trump, you can respond and we’re going to move on to the next segment.	(1:00:27.4)							
(1:00:26.7)	TRUMP:	I would love to respond. First of all, I got to watch in preparing for this some of your debates against Barack Obama. You treated him with terrible disrespect. And I watched the way you talk now about how lovely everything is and how wonderful you are. It doesn’t work that way. You were after him, you were trying to — you even sent out, or your campaign sent out, pictures of him in a certain garb, very famous pictures. I don’t think you can deny that. But just last week, your campaign manager said it was true. So when you tried to act holier than thou, it really doesn’t work. It really doesn’t. Now, as far as the lawsuit, yes, when I was very young, I went into my father’s company, had a real estate company in Brooklyn and Queens, and we, along with many, many other companies throughout the country — it was a federal lawsuit — were sued. We settled the suit with zero — with no admission of guilt. It was very easy to do. But they sued many people. I notice you bring that up a lot. And, you know, I also notice the very nasty commercials that you do on me in so many different ways, which I don’t do on you. Maybe I’m trying to save the money. But, frankly, I look — I look at that, and I say, isn’t that amazing? Because I settled that lawsuit with no admission of guilt, but that was a lawsuit brought against many real estate firms, and it’s just one of those things. I’ll go on one step further. In Palm Beach, Florida, tough community, a brilliant community, a wealthy community, probably the wealthiest community there is in the world, I opened a club, and really got great credit for it. No discrimination against African-Americans, against Muslims, against anybody. And it’s a tremendously successful club. And I’m so glad I did it. And I have been given great credit for what I did. And I’m very, very proud of it. And that’s the way I feel. That is the true way I feel.	(1:02:24.9)	x						
(1:02:24.9)	HOLT:	Our next segment is called “Securing America.” We want to start with a 21st century war happening every day in this country. Our institutions are under cyber attack, and our secrets are being stolen. So my question is, who’s behind it? And how do we fight it? Secretary Clinton, this answer goes to you.	(1:02:41.1)							
(1:02:42.9)	CLINTON:	Well, I think cyber security, cyber warfare will be one of the biggest challenges facing the next president, because clearly we’re facing at this point two different kinds of adversaries. There are the independent hacking groups that do it mostly for commercial reasons to try to steal information that they can use to make money. But increasingly, we are seeing cyber attacks coming from states, organs of states. The most recent and troubling of these has been Russia. There’s no doubt now that Russia has used cyber attacks against all kinds of organizations in our country, and I am deeply concerned about this. I know Donald’s very praiseworthy of Vladimir Putin, but Putin is playing a really…	(1:03:34.5)							
(1:03:33.9)	TRUMP:	(INAUDIBLE)	(1:03:34.3)	x						
(1:03:34.8)	CLINTON:	… tough, long game here. And one of the things he’s done is to let loose cyber attackers to hack into government files, to hack into personal files, hack into the Democratic National Committee. And we recently have learned that, you know, that this is one of their preferred methods of trying to wreak havoc and collect information. We need to make it very clear — whether it’s Russia, China, Iran or anybody else — the United States has much greater capacity. And we are not going to sit idly by and permit state actors to go after our information, our private-sector information or our public-sector information. And we’re going to have to make it clear that we don’t want to use the kinds of tools that we have. We don’t want to engage in a different kind of warfare. But we will defend the citizens of this country. And the Russians need to understand that. I think they’ve been treating it as almost a probing, how far would we go, how much would we do. And that’s why I was so — I was so shocked when Donald publicly invited Putin to hack into Americans. That is just unacceptable. It’s one of the reasons why 50 national security officials who served in Republican information — in administrations…	(1:05:01.0)							
(1:05:00.7)	HOLT:	Your two minutes have expired.	(1:05:01.7)	x						
(1:05:01.4)	CLINTON:	… have said that Donald is unfit to be the commander-in-chief. It’s comments like that that really worry people who understand the threats that we face.	(1:05:11.1)	x						
(1:05:11.2)	HOLT: 	Mr. Trump, you have two minutes and the same question. Who’s behind it? And how do we fight it?	(1:05:14.2)							
